Date,Time,Open,High,Low,Close,Volume
2018.01.03,9:00,6.50603,6.50634,6.49789,6.49803,2855
2018.01.03,10:00,6.49806,6.50152,6.49654,6.49675,1846
2018.01.03,11:00,6.49671,6.49764,6.49413,6.49439,1343
2018.01.03,12:00,6.4943,6.49574,6.49196,6.49424,1884
2018.01.03,13:00,6.49424,6.49584,6.4931,6.49481,2251
2018.01.03,14:00,6.49481,6.49514,6.4933,6.49439,813
2018.01.03,15:00,6.49438,6.49741,6.49437,6.49544,1787
2018.01.03,16:00,6.49534,6.49624,6.49254,6.4951,1587
2018.01.03,17:00,6.49524,6.50074,6.49524,6.49554,1835
2018.01.03,18:00,6.49564,6.49627,6.4931,6.49544,1161
2018.01.03,19:00,6.49536,6.49574,6.48868,6.49196,999
2018.01.03,20:00,6.49196,6.49214,6.48958,6.48962,519
2018.01.03,21:00,6.48959,6.49721,6.48912,6.49648,1328
2018.01.03,22:00,6.49648,6.49708,6.4953,6.49669,673
2018.01.04,1:00,6.49528,6.49924,6.49504,6.49895,1099
2018.01.04,2:00,6.49888,6.50444,6.49888,6.50364,1605
2018.01.04,3:00,6.50354,6.50944,6.50334,6.50669,2714
2018.01.04,4:00,6.5067,6.50776,6.50269,6.50444,2271
2018.01.04,5:00,6.50434,6.50581,6.5034,6.50385,923
2018.01.04,6:00,6.50393,6.50405,6.50152,6.50217,979
2018.01.04,7:00,6.50217,6.50314,6.50084,6.50264,1110
2018.01.04,8:00,6.50265,6.50484,6.49594,6.49958,2635
2018.01.04,9:00,6.49958,6.50048,6.49219,6.49479,3183
2018.01.04,10:00,6.49484,6.4986,6.49464,6.49722,1943
2018.01.04,11:00,6.49708,6.49914,6.49563,6.49687,1395
2018.01.04,12:00,6.49687,6.49714,6.49335,6.49502,1446
2018.01.04,13:00,6.49502,6.49504,6.49323,6.49454,1081
2018.01.04,14:00,6.49474,6.49515,6.49285,6.49346,673
2018.01.04,15:00,6.4934,6.49589,6.49208,6.49579,2289
2018.01.04,16:00,6.49573,6.49658,6.49375,6.49384,2652
2018.01.04,17:00,6.49384,6.49476,6.49234,6.49384,1581
2018.01.04,18:00,6.49384,6.49394,6.4902,6.49074,1404
2018.01.04,19:00,6.49064,6.49133,6.48142,6.48164,1594
2018.01.04,20:00,6.48155,6.48554,6.48141,6.48363,743
2018.01.04,21:00,6.48362,6.48804,6.48302,6.48804,694
2018.01.04,22:00,6.48794,6.48964,6.48684,6.48843,517
2018.01.05,1:00,6.49166,6.49169,6.48414,6.48517,1234
2018.01.05,2:00,6.48534,6.48684,6.48318,6.48352,1999
